IMDB ID,Title,Popularity Ranking,Episodes,Runtime,Show Type,Country of Origin,Language,Plot unknown. Sequel to the 2019 film 'Knives Out'.,Summary,IMDB Rating,Number of Votes,genres
tt4052886,Lucifer,1,93,42,TV Series,United States of America,English,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"Lucifer Morningstar, bored from his sulking life in hell, comes to live in Los Angeles. While there, he helps humanity with its miseries through his experience and telepathic abilities to bring people's deepest desires and thoughts out of them. While meeting with a Detective in his nightclub (Lux), a shootout involving him and the Detective leads him to become an LAPD consultant who tries to punish people for their crimes through law and justice. —ahmetkozan",8.1,250884,"Crime,Drama,Fantasy"
tt0993840,Army of the Dead,2,,148,Movie,United States of America,English,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","With the abandoned, walled city of Las Vegas overrun with zombies, after a disastrous government fault, the billionaire casino magnate, Bly Tanaka, realises that he has left something in Sin City: $200 million to be more precise. For the time being, his mountains of cash are safe behind his impenetrable casino vault; however, the US President plans to nuke the entire city in less than 96 hours. Now, Tanaka is willing to pay $50 million to the decorated former mercenary, Scott Ward, and his hand-picked team to retrieve the money before the bomb obliterates the city. Indeed, this is a life-changing offer Scott cannot refuse; nevertheless, the rules have changed, and the horde of the walking undead seems to be more organised than they might have expected. But, time is running out. Can they return from Vegas in one piece and rich? —Nick Riganas",5.8,110780,"Action,Crime,Horror"
tt7255502,The Kominsky Method,3,22,30,TV Series,United States of America,English,"An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.","Michael Douglas plays an actor who made it big a long time ago and who now is an acting coach at his studio named after himself, ""The Kominsky Method."" His best friend and agent loses his wife to cancer, which leaves both of them questioning their existence as they struggle through choices and relationships, old and new. As Kominsky teaches a class to actors he meets a woman whom he has deep feelings for, but lacks the skills to make a relationship work. Meanwhile his agent struggles with the pain of his wife's death and a drug addicted daughter. Throughout the series it becomes clear that their advanced age has challenges that neither one knows how to overcome, and as they keep onboard this train of life, which is closer to death then ever before, they learn to navigate their way through pain and character growth and set backs.",8.2,28795,"Comedy,Drama"
tt0108778,Friends,4,235,22,TV Series,United States of America,English,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"Ross Geller, Rachel Green, Monica Geller, Joey Tribbiani, Chandler Bing, and Phoebe Buffay are six 20 something year olds living in New York City. Over the course of 10 years and seasons, these friends go through family, love, drama, friendship, and comedy.",8.9,861843,"Comedy,Romance"
tt9251798,Ragnarok,5,12,45,TV Series,Norway,Norwegian,A small Norwegian town experiencing warm winters and violent downpours seems to be headed for another Ragnarok -- unless someone intervenes in time.,"In the small fictional town of Edda coming of age people are forced to respond to climate changes. The ice caps are melting at a rate no one had anticipated. People go through long periods of drought. The winters are too warm. More and more frequently, people experience extreme cold bursts. In all ways extreme weather conditions. The world is changing, and some might claim that we're heading towards a new Ragnarok. Unless someone intervenes in time.",7.5,26606,"Action,Drama,Fantasy"
tt5028002,StartUp,6,30,44,TV Series,United States of America,English,"A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.","Miami - A desperate banker needs to conceal stolen money. A Haitian-American gang lord wants to go legit. A Cuban-American hacker has an idea that will revolutionize the very future of money itself. Forced to work together, they unwittingly create their version of the American dream - organized crime 2.0.",8,16980,"Crime,Thriller"
tt0413573,Grey's Anatomy,7,381,41,TV Series,United States of America,English,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"A medical based drama centered around Meredith Grey, an aspiring surgeon and daughter of one of the best surgeons, Dr. Ellis Grey. Throughout the series, Meredith goes through professional and personal challenges along with fellow surgeons at Seattle Grace Hospital.",7.5,260703,"Drama,Romance"
tt12809988,Sweet Tooth,8,8,\N,TV Series,United States of America,English,A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,8.2,9622,"Action,Adventure,Drama"
tt2741602,The Blacklist,9,175,43,TV Series,United States of America,English,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","A highly articulate, erudite and intelligent businessman and mastermind, ""Red"" Reddington, has allegedly been on the ""10 Most Wanted List"" of various U.S. law enforcement agencies for over 20 years. The legend is that Red is as elusive as he is clever, controlling a labyrinth of creative enterprises, coupled with uncanny ability to gather and finesse information at the drop of a hat. On the first day at FBI for a new female profiler fresh out of Quantico, Red offers to bandy wits with the FBI. Red promises to deliver various criminals and plots previously unknown to any branch of law enforcement... and all Red requests in return is to choose his muse. —LA-Lawyer",8,207174,"Crime,Drama,Mystery"
tt5774002,Jupiter's Legacy,10,8,56,TV Series,United States of America,English,"The first generation of superheroes has kept the world safe for nearly a century. Now their children must live up to their legacy in an epic drama that spans decades and navigates the dynamics of family, power and loyalt... Read all","The first generation of superheroes kept the world safe for 90 years. Now the years are different, the world is changing and the enemies are getting stronger. It is time for the new generation of superheroes to accept the legacy of their fathers and to continue their work based on morality and justice. —CineMoviez",6.8,27309,"Action,Adventure,Drama"
