Date,Region,Number of Subscribers
31-03-2019,United States and Canada,66633000
31-03-2019,"Europe, Middle East and Africa",42542000
31-03-2019,Latin America,27547000
31-03-2019,Asia-Pacific,12141000
30-06-2019,United States and Canada,66501000
30-06-2019,"Europe, Middle East and Africa",44229000
30-06-2019,Latin America,27890000
30-06-2019,Asia-Pacific,12942000
30-09-2019,United States and Canada,67114000
30-09-2019,"Europe, Middle East and Africa",47355000
30-09-2019,Latin America,29380000
30-09-2019,Asia-Pacific,14485000
31-12-2019,United States and Canada,67662000
31-12-2019,"Europe, Middle East and Africa",51778000
31-12-2019,Latin America,31417000
31-12-2019,Asia-Pacific,16233000
31-03-2020,United States and Canada,69969000
31-03-2020,"Europe, Middle East and Africa",58734000
31-03-2020,Latin America,34318000
31-03-2020,Asia-Pacific,19835000
30-06-2020,United States and Canada,72904000
30-06-2020,"Europe, Middle East and Africa",61483000
30-06-2020,Latin America,36068000
30-06-2020,Asia-Pacific,22492000
30-09-2020,United States and Canada,73081000
30-09-2020,"Europe, Middle East and Africa",62242000
30-09-2020,Latin America,36324000
30-09-2020,Asia-Pacific,23504000
31-12-2020,United States and Canada,73936000
31-12-2020,"Europe, Middle East and Africa",66698000
31-12-2020,Latin America,37537000
31-12-2020,Asia-Pacific,25492000
31-03-2021,United States and Canada,74384000
31-03-2021,"Europe, Middle East and Africa",68508000
31-03-2021,Latin America,37894000
31-03-2021,Asia-Pacific,26853000
30-06-2021,United States and Canada,73951000
30-06-2021,"Europe, Middle East and Africa",68696000
30-06-2021,Latin America,38658000
30-06-2021,Asia-Pacific,27875000
30-09-2021,United States and Canada,74024000
30-09-2021,"Europe, Middle East and Africa",70500000
30-09-2021,Latin America,38988000
30-09-2021,Asia-Pacific,30051000
31-12-2021,United States and Canada,75215000
31-12-2021,"Europe, Middle East and Africa",74036000
31-12-2021,Latin America,39961000
31-12-2021,Asia-Pacific,32632000
31-03-2022,United States and Canada,74579000
31-03-2022,"Europe, Middle East and Africa",73733000
31-03-2022,Latin America,39610000
31-03-2022,Asia-Pacific,33719000
30-06-2022,United States and Canada,73283000
30-06-2022,"Europe, Middle East and Africa",72966000
30-06-2022,Latin America,39624000
30-06-2022,Asia-Pacific,34799000
30-09-2022,United States and Canada,73387000
30-09-2022,"Europe, Middle East and Africa",73534000
30-09-2022,Latin America,39936000
30-09-2022,Asia-Pacific,36228000
31-12-2022,United States and Canada,74296000
31-12-2022,"Europe, Middle East and Africa",76729000
31-12-2022,Latin America,41699000
31-12-2022,Asia-Pacific,38023000
31-03-2023,United States and Canada,74398000
31-03-2023,"Europe, Middle East and Africa",77373000
31-03-2023,Latin America,41249000
31-03-2023,Asia-Pacific,39478000
